Jurisdiction,Year,Fuel,Unit,Quantity
AUS,2019-20,Black coal,GWh,111860.822
AUS,2019-20,Brown coal,GWh,33661.55
AUS,2019-20,Geothermal,GWh,
AUS,2019-20,Hydro,GWh,15149.633
AUS,2019-20,Large-scale solar PV,GWh,7136.107
AUS,2019-20,Natural gas,GWh,55216.284
AUS,2019-20,Oil products,GWh,4509.201
AUS,2019-20,Other,GWh,
AUS,2019-20,Small-scale solar PV,GWh,13897.088
AUS,2019-20,Total,GWh,265178.199
AUS,2019-20,Total non-renewable,GWh,205247.857
AUS,2019-20,Total renewable,GWh,59930.342
AUS,2019-20,Wind,GWh,20395.885
AUS,2020-21,"Bagasse, wood",GWh,1992.17
AUS,2020-21,Biogas,GWh,1354.012
AUS,2020-21,Black coal,GWh,106251.414
AUS,2020-21,Brown coal,GWh,34060.028
AUS,2020-21,Geothermal,GWh,na
AUS,2020-21,Hydro,GWh,15199.688
AUS,2020-21,Large-scale solar PV,GWh,9637.887
AUS,2020-21,Natural gas,GWh,49782.93
AUS,2020-21,Oil products,GWh,4661.89
AUS,2020-21,Other,GWh,
AUS,2020-21,Small-scale solar PV,GWh,18079.064
AUS,2020-21,Total,GWh,265554.452
AUS,2020-21,Total non-renewable,GWh,194756.262
AUS,2020-21,Total renewable,GWh,70798.19
AUS,2020-21,Wind,GWh,24535.369
AUS,2021-22,"Bagasse, wood",GWh,1817.451
AUS,2021-22,Biogas,GWh,1372.806
AUS,2021-22,Black coal,GWh,101076.158
AUS,2021-22,Brown coal,GWh,32515.636
AUS,2021-22,Geothermal,GWh,
AUS,2021-22,Hydro,GWh,17010.891
AUS,2021-22,Large-scale solar PV,GWh,12569.176
AUS,2021-22,Natural gas,GWh,49280.225
AUS,2021-22,Oil products,GWh,4663.996
AUS,2021-22,Other,GWh,
AUS,2021-22,Small-scale solar PV,GWh,22117.45
AUS,2021-22,Total,GWh,271531.583
AUS,2021-22,Total non-renewable,GWh,187536.015
AUS,2021-22,Total renewable,GWh,83995.568
AUS,2021-22,Wind,GWh,29107.793
NSW,2008-09,"Bagasse, wood",GWh,291.3
NSW,2008-09,Biogas,GWh,383.4
NSW,2008-09,Black coal,GWh,67650.3
NSW,2008-09,Brown coal,GWh,
NSW,2008-09,Geothermal,GWh,
NSW,2008-09,Hydro,GWh,1496.977
NSW,2008-09,Large-scale solar PV,GWh,
NSW,2008-09,Natural gas,GWh,2445.1
NSW,2008-09,Oil products,GWh,24.7
NSW,2008-09,Other,GWh,336.6
NSW,2008-09,Small-scale solar PV,GWh,36.3
NSW,2008-09,Total,GWh,72705.977
NSW,2008-09,Total non-renewable,GWh,70456.7
NSW,2008-09,Total renewable,GWh,2249.277
NSW,2008-09,Wind,GWh,41.3
NSW,2009-10,"Bagasse, wood",GWh,295.3
NSW,2009-10,Biogas,GWh,385.8
NSW,2009-10,Black coal,GWh,64398.6
NSW,2009-10,Brown coal,GWh,
NSW,2009-10,Geothermal,GWh,
NSW,2009-10,Hydro,GWh,2689.526
NSW,2009-10,Large-scale solar PV,GWh,
NSW,2009-10,Natural gas,GWh,4681.3
NSW,2009-10,Oil products,GWh,5.6
NSW,2009-10,Other,GWh,493.6
NSW,2009-10,Small-scale solar PV,GWh,119.2
NSW,2009-10,Total,GWh,73501.426
NSW,2009-10,Total non-renewable,GWh,69579.1
NSW,2009-10,Total renewable,GWh,3922.326
NSW,2009-10,Wind,GWh,432.5
NSW,2010-11,"Bagasse, wood",GWh,253.3
NSW,2010-11,Biogas,GWh,360
NSW,2010-11,Black coal,GWh,60732.2
NSW,2010-11,Brown coal,GWh,
NSW,2010-11,Geothermal,GWh,
NSW,2010-11,Hydro,GWh,2474.878
NSW,2010-11,Large-scale solar PV,GWh,
NSW,2010-11,Natural gas,GWh,4742.7
NSW,2010-11,Oil products,GWh,61.4
NSW,2010-11,Other,GWh,266.1
NSW,2010-11,Small-scale solar PV,GWh,526.3
NSW,2010-11,Total,GWh,69946.978
NSW,2010-11,Total non-renewable,GWh,65802.4
NSW,2010-11,Total renewable,GWh,4144.578
NSW,2010-11,Wind,GWh,530.1
NSW,2011-12,"Bagasse, wood",GWh,413.6
NSW,2011-12,Biogas,GWh,408.7
NSW,2011-12,Black coal,GWh,60453.7
NSW,2011-12,Brown coal,GWh,
NSW,2011-12,Geothermal,GWh,
NSW,2011-12,Hydro,GWh,2446.925
NSW,2011-12,Large-scale solar PV,GWh,
NSW,2011-12,Natural gas,GWh,4212.1
NSW,2011-12,Oil products,GWh,42.1
NSW,2011-12,Other,GWh,
NSW,2011-12,Small-scale solar PV,GWh,657.7
NSW,2011-12,Total,GWh,69332.425
NSW,2011-12,Total non-renewable,GWh,64707.9
NSW,2011-12,Total renewable,GWh,4624.525
NSW,2011-12,Wind,GWh,697.6
NSW,2012-13,"Bagasse, wood",GWh,425.4
NSW,2012-13,Biogas,GWh,413.4
NSW,2012-13,Black coal,GWh,56798.6
NSW,2012-13,Brown coal,GWh,
NSW,2012-13,Geothermal,GWh,
NSW,2012-13,Hydro,GWh,3298.089
NSW,2012-13,Large-scale solar PV,GWh,
NSW,2012-13,Natural gas,GWh,5168.7
NSW,2012-13,Oil products,GWh,190.9
NSW,2012-13,Other,GWh,
NSW,2012-13,Small-scale solar PV,GWh,857.6
NSW,2012-13,Total,GWh,67985.289
NSW,2012-13,Total non-renewable,GWh,62158.2
NSW,2012-13,Total renewable,GWh,5827.089
NSW,2012-13,Wind,GWh,832.6
NSW,2013-14,"Bagasse, wood",GWh,461.7
NSW,2013-14,Biogas,GWh,420.6
NSW,2013-14,Black coal,GWh,55819.495
NSW,2013-14,Brown coal,GWh,
NSW,2013-14,Geothermal,GWh,
NSW,2013-14,Hydro,GWh,2721.109
NSW,2013-14,Large-scale solar PV,GWh,10.635
NSW,2013-14,Natural gas,GWh,5528.3
NSW,2013-14,Oil products,GWh,170.7
NSW,2013-14,Other,GWh,
NSW,2013-14,Small-scale solar PV,GWh,964.898
NSW,2013-14,Total,GWh,66996.637
NSW,2013-14,Total non-renewable,GWh,61518.495
NSW,2013-14,Total renewable,GWh,5478.142
NSW,2013-14,Wind,GWh,899.2
NSW,2014-15,"Bagasse, wood",GWh,551.1
NSW,2014-15,Biogas,GWh,472.1
NSW,2014-15,Black coal,GWh,52562.2
NSW,2014-15,Brown coal,GWh,
NSW,2014-15,Geothermal,GWh,
NSW,2014-15,Hydro,GWh,1770.988
